JUnit version 4.12
.Test started at Tue Oct 25 03:22:30 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Maximum FPSet table count is: 137,438,953,472 (approx: 1,048,576 GiB)
FPSet lock count is: 0
FPSet bucket count is: 137438953472
Testing tlc2.tool.fp.OffHeapDiskFPSet
1477375481060 s; 170,293,185 insertions/min; 0.19 load factor
1477375541060 s; 170,228,284 insertions/min; 0.19 load factor
1477375601060 s; 170,318,544 insertions/min; 0.19 load factor
1477375661060 s; 169,652,333 insertions/min; 0.19 load factor
1477375721060 s; 169,027,544 insertions/min; 0.19 load factor
1477375781060 s; 169,278,413 insertions/min; 0.19 load factor
1477375841060 s; 169,660,185 insertions/min; 0.2 load factor
1477375901060 s; 169,568,340 insertions/min; 0.2 load factor
1477375961060 s; 169,701,134 insertions/min; 0.2 load factor
1477376021061 s; 168,962,405 insertions/min; 0.2 load factor
1477376141060 s; 673,504,133 insertions/min; 0.2 load factor
1477376201060 s; 141,416,391 insertions/min; 0.2 load factor
1477376261060 s; 140,177,547 insertions/min; 0.2 load factor
1477376321060 s; 139,956,246 insertions/min; 0.21 load factor
1477376381060 s; 139,410,397 insertions/min; 0.21 load factor
1477376441061 s; 139,023,848 insertions/min; 0.21 load factor
1477376561060 s; 559,054,739 insertions/min; 0.21 load factor
1477376621060 s; 139,796,764 insertions/min; 0.21 load factor
1477376681060 s; 138,799,888 insertions/min; 0.21 load factor
1477376741061 s; 138,721,095 insertions/min; 0.21 load factor
1477376861060 s; 554,042,002 insertions/min; 0.21 load factor
1477376921060 s; 139,395,102 insertions/min; 0.22 load factor
1477376981060 s; 138,439,358 insertions/min; 0.22 load factor
1477377041061 s; 138,894,251 insertions/min; 0.22 load factor
1477377161060 s; 563,491,762 insertions/min; 0.22 load factor
1477377221061 s; 140,810,194 insertions/min; 0.22 load factor
1477377341060 s; 617,370,533 insertions/min; 0.22 load factor
1477377401060 s; 166,324,093 insertions/min; 0.22 load factor
1477377461060 s; 165,735,119 insertions/min; 0.23 load factor
1477377521060 s; 165,994,274 insertions/min; 0.23 load factor
1477377581060 s; 165,530,719 insertions/min; 0.23 load factor
